VERS;TÝP;TARÝH;KULLANICI;NOT
V1.0.20;Bilgi;16.10.2017 0926;Salih;10 sipariþ taþýndý
V1.0.20;Bilgi;16.10.2017 1149;Salih;58180101137 Klasörü bulunamadý
V1.0.20;Bilgi;16.10.2017 1149;Salih;58180101165 Klasörü bulunamadý
V1.0.20;Bilgi;16.10.2017 1149;Salih;58180101179 Klasörü bulunamadý
V1.0.20;Bilgi;16.10.2017 1154;Salih;Klasör bulunamadý
V1.0.20;Bilgi;16.10.2017 1154;Salih;21180101137 Klasörü bulunamadý
V1.0.20;Bilgi;16.10.2017 1154;Salih;21180101165 Klasörü bulunamadý
V1.0.20;Bilgi;16.10.2017 1154;Salih;21 Klasörü bulunamadý
V1.0.20;Bilgi;16.10.2017 1155;Salih;01 File already exists
V1.0.20;Bilgi;16.10.2017 1248;Salih;33 Type mismatch
V1.0.20;Bilgi;16.10.2017 1406;Salih;15 sipariþ taþýndý
V1.0.20;Bilgi;16.10.2017 1709;Salih;16 sipariþ taþýndý
v1.0.49;Bilgi;16.10.2017 2008;Salih;9 sipariþ taþýndý
v1.0.50;Bilgi;17.10.2017 1141;Salih;çalýþtýrma tamamlandý
v1.0.51;Bilgi;17.10.2017 1143;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;17.10.2017 1202;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;17.10.2017 1202;Salih;9 sipariþ taþýndý
v1.0.53;Bilgi;17.10.2017 1213;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;17.10.2017 1223;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;17.10.2017 1415;Salih;8 sipariþ taþýndý
v1.0.53;Bilgi;17.10.2017 1425;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;17.10.2017 1435;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;17.10.2017 1445;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;17.10.2017 1455;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;17.10.2017 1505;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 0824;Salih;çalýþtýrma baþladý
v1.0.53;Hata;18.10.2017 0824;Salih;Bad file name or number
v1.0.53;Bilgi;18.10.2017 0826;Salih;çalýþtýrma baþladý
v1.0.53;Hata;18.10.2017 0826;Salih;Bad file name or number
v1.0.53;Bilgi;18.10.2017 0827;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 0828;Salih;9 sipariþ taþýndý
v1.0.53;Bilgi;18.10.2017 0837;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 0848;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 0858;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 0908;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 0918;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 0928;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 0938;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 0948;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 0959;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1009;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1019;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1029;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1039;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1049;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1059;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1110;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1110;Salih;6 sipariþ taþýndý
v1.0.53;Bilgi;18.10.2017 1120;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1130;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1140;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1151;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1201;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1211;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1221;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1231;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1241;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1251;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1302;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1312;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1322;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1332;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1342;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1352;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1402;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1413;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1423;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1433;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1443;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1453;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1503;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1513;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1524;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1534;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1544;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1554;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1604;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1614;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1624;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1635;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1645;Salih;çalýþtýrma baþladý
v1.0.53;Bilgi;18.10.2017 1655;Salih;çalýþtýrma baþladý
